time	power_W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
0.000	0.000	0.0980	0.0000	0.0000	0.0000	0.0240	0.0000	0.0000	0.0000	32.00	32.00	36.00	33.00
0.204	0.000	0.0000	0.0000	0.0000	0.0000	0.8950	0.0000	0.0480	0.0000	44.00	34.00	37.00	34.00
0.406	0.000	0.0500	0.0000	0.0000	0.0480	1.0000	0.0000	0.0000	0.0000	46.00	36.00	38.00	36.00
0.608	0.000	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	47.00	37.00	39.00	36.00
0.810	5.122	0.0500	0.0480	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	48.00	38.00	40.00	37.00
1.012	5.122	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	48.00	38.00	40.00	37.00
1.213	5.122	0.0950	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	49.00	38.00	40.00	38.00
1.415	5.122	0.0530	0.0000	0.0000	0.0480	1.0000	0.0480	0.0910	0.0000	49.00	39.00	41.00	38.00
1.617	5.122	0.0480	0.0000	0.0000	0.0000	1.0000	0.0480	0.0000	0.0000	49.00	39.00	41.00	38.00
1.819	5.382	0.0530	0.0000	0.0000	0.0000	1.0000	0.0910	0.0950	0.0000	50.00	39.00	41.00	38.00
2.021	5.382	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	50.00	39.00	41.00	38.00
2.222	5.382	0.0910	0.0480	0.0000	0.0000	1.0000	0.0000	0.0000	0.0480	50.00	40.00	41.00	39.00
2.424	5.382	0.0000	0.0000	0.0000	0.0000	1.0000	0.0910	0.0000	0.0500	50.00	40.00	42.00	39.00
2.626	5.382	0.0480	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0480	50.00	40.00	42.00	39.00
2.828	5.412	0.1000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0480	0.0000	50.00	40.00	42.00	39.00
3.029	5.412	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	51.00	40.00	42.00	39.00
3.231	5.412	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0480	0.0480	51.00	40.00	42.00	39.00
3.433	5.412	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	51.00	40.00	42.00	39.00
3.634	5.412	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0480	0.0000	51.00	41.00	42.00	39.00
3.836	5.416	0.0950	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	51.00	41.00	43.00	40.00
4.038	5.416	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	51.00	41.00	43.00	40.00
4.239	5.416	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	51.00	41.00	43.00	40.00
4.441	5.416	0.0950	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	51.00	41.00	43.00	40.00
4.643	5.416	0.0500	0.0000	0.0000	0.0000	1.0000	0.0500	0.0000	0.0000	51.00	41.00	43.00	40.00
4.845	5.454	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	51.00	41.00	43.00	40.00
5.046	5.454	0.0480	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	51.00	41.00	43.00	40.00
5.248	5.454	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	51.00	41.00	43.00	40.00
5.450	5.454	0.0500	0.0000	0.0000	0.0480	1.0000	0.0000	0.0000	0.0480	51.00	41.00	43.00	40.00
5.651	5.454	0.0500	0.0000	0.0000	0.0000	1.0000	0.0500	0.0000	0.0000	52.00	41.00	43.00	40.00
5.853	5.454	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	52.00	41.00	43.00	40.00
6.055	5.454	0.0000	0.0910	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	52.00	41.00	43.00	40.00
6.257	5.454	0.0950	0.0000	0.0000	0.0000	1.0000	0.0480	0.0000	0.0000	52.00	41.00	43.00	40.00
