time	power_W	temp4	temp5	temp6	temp7	max_temp
0.010	0.000	36.00	36.00	39.00	37.00	39.00
0.213	0.000	43.00	42.00	47.00	43.00	47.00
0.414	0.000	48.00	51.00	54.00	47.00	54.00
0.615	0.000	51.00	54.00	58.00	50.00	58.00
0.817	9.779	48.00	51.00	54.00	48.00	54.00
1.018	9.779	52.00	56.00	59.00	51.00	59.00
1.220	9.779	49.00	51.00	55.00	50.00	55.00
1.421	9.779	53.00	57.00	60.00	52.00	60.00
1.629	9.943	55.00	60.00	63.00	54.00	63.00
1.839	9.943	53.00	57.00	60.00	52.00	60.00
2.046	9.943	56.00	61.00	64.00	54.00	64.00
2.254	9.943	52.00	55.00	58.00	51.00	58.00
2.462	9.943	56.00	61.00	64.00	55.00	64.00
2.670	8.168	55.00	56.00	58.00	51.00	58.00
2.879	8.168	56.00	60.00	64.00	55.00	64.00
3.087	8.168	58.00	63.00	66.00	57.00	66.00
3.294	8.168	55.00	59.00	63.00	54.00	63.00
3.502	8.168	58.00	63.00	66.00	57.00	66.00
3.710	9.825	51.00	56.00	59.00	53.00	59.00
3.919	9.825	58.00	63.00	66.00	56.00	66.00
4.127	9.825	57.00	59.00	61.00	53.00	61.00
4.334	9.825	58.00	61.00	65.00	56.00	65.00
4.542	9.825	59.00	64.00	67.00	57.00	67.00
4.750	10.932	51.00	53.00	55.00	49.00	55.00
4.959	10.932	46.00	50.00	52.00	47.00	52.00
5.167	10.932	43.00	45.00	49.00	45.00	49.00
5.374	10.932	46.00	46.00	49.00	46.00	49.00
5.582	10.932	54.00	56.00	60.00	52.00	60.00
5.789	3.786	55.00	56.00	58.00	51.00	58.00
5.999	3.786	56.00	59.00	62.00	54.00	62.00
6.206	3.786	58.00	62.00	65.00	56.00	65.00
6.414	3.786	56.00	59.00	62.00	54.00	62.00
6.622	8.454	58.00	63.00	66.00	57.00	66.00
6.832	8.454	55.00	58.00	61.00	53.00	61.00
7.039	8.454	58.00	64.00	66.00	57.00	66.00
7.247	8.454	54.00	63.00	62.00	54.00	63.00
7.454	8.454	58.00	63.00	66.00	57.00	66.00
7.662	9.939	59.00	65.00	68.00	59.00	68.00
7.872	9.939	56.00	60.00	64.00	56.00	64.00
8.080	9.939	59.00	65.00	68.00	59.00	68.00
8.287	9.939	53.00	59.00	62.00	55.00	62.00
8.495	9.939	59.00	64.00	68.00	59.00	68.00
8.703	8.118	56.00	63.00	65.00	59.00	65.00
8.912	8.118	58.00	63.00	67.00	58.00	67.00
9.120	8.118	60.00	66.00	70.00	59.00	70.00
9.327	8.118	56.00	61.00	65.00	56.00	65.00
9.535	8.118	60.00	66.00	70.00	59.00	70.00
9.742	9.328	54.00	60.00	64.00	55.00	64.00
9.952	9.328	60.00	66.00	69.00	59.00	69.00
10.160	9.328	55.00	63.00	69.00	56.00	69.00
10.367	9.328	59.00	65.00	68.00	58.00	68.00
10.575	9.328	61.00	67.00	70.00	60.00	70.00
10.783	8.256	58.00	63.00	66.00	57.00	66.00
10.992	8.256	61.00	67.00	70.00	60.00	70.00
11.200	8.256	56.00	62.00	65.00	56.00	65.00
11.407	8.256	61.00	67.00	69.00	60.00	69.00
11.615	8.256	56.00	64.00	65.00	55.00	65.00
11.822	9.473	60.00	66.00	69.00	59.00	69.00
12.032	9.473	57.00	64.00	70.00	57.00	70.00
12.240	9.473	60.00	65.00	69.00	59.00	69.00
12.448	9.473	62.00	68.00	71.00	61.00	71.00
12.656	9.473	59.00	64.00	68.00	58.00	68.00
12.864	9.473	62.00	67.00	71.00	60.00	71.00
13.072	10.374	56.00	62.00	66.00	57.00	66.00
13.281	10.374	62.00	67.00	71.00	60.00	71.00
13.490	10.374	55.00	62.00	68.00	56.00	68.00
13.692	10.195	61.00	66.00	70.00	60.00	70.00
13.902	10.195	62.00	69.00	72.00	61.00	72.00
14.109	10.195	60.00	65.00	69.00	59.00	69.00
14.317	10.195	62.00	68.00	72.00	61.00	72.00
14.525	10.195	56.00	61.00	66.00	57.00	66.00
14.733	10.237	60.00	67.00	71.00	60.00	71.00
14.942	10.237	56.00	62.00	67.00	57.00	67.00
15.150	10.237	61.00	67.00	70.00	60.00	70.00
15.357	10.237	58.00	68.00	67.00	58.00	68.00
15.565	10.237	61.00	67.00	69.00	60.00	69.00
15.772	8.660	63.00	69.00	72.00	61.00	72.00
15.982	8.660	60.00	65.00	68.00	59.00	68.00
16.190	8.660	63.00	69.00	71.00	61.00	71.00
16.397	8.660	56.00	63.00	66.00	56.00	66.00
16.605	8.660	62.00	68.00	71.00	61.00	71.00
16.813	9.664	56.00	66.00	65.00	56.00	66.00
17.022	9.664	62.00	67.00	70.00	60.00	70.00
17.230	9.664	63.00	70.00	72.00	62.00	72.00
17.438	9.664	61.00	66.00	69.00	60.00	69.00
17.645	9.664	63.00	69.00	72.00	62.00	72.00
17.853	8.386	59.00	63.00	67.00	58.00	67.00
18.062	8.386	63.00	69.00	71.00	61.00	71.00
18.270	8.386	56.00	64.00	65.00	56.00	65.00
18.478	8.386	62.00	67.00	70.00	61.00	70.00
18.685	8.386	59.00	66.00	68.00	62.00	68.00
18.893	9.741	62.00	67.00	70.00	61.00	70.00
19.103	9.741	63.00	69.00	72.00	62.00	72.00
19.310	9.741	60.00	65.00	69.00	60.00	69.00
19.518	9.741	63.00	69.00	72.00	62.00	72.00
19.726	8.416	58.00	64.00	66.00	58.00	66.00
19.935	8.416	63.00	69.00	72.00	62.00	72.00
20.143	8.416	56.00	64.00	68.00	57.00	68.00
20.350	8.416	62.00	68.00	71.00	62.00	71.00
20.558	8.416	61.00	69.00	72.00	63.00	72.00
20.766	10.508	60.00	67.00	69.00	60.00	69.00
20.976	10.508	63.00	70.00	72.00	62.00	72.00
21.184	10.508	60.00	65.00	68.00	59.00	68.00
21.391	10.508	63.00	69.00	72.00	62.00	72.00
21.599	10.508	59.00	66.00	68.00	58.00	68.00
21.806	10.122	63.00	68.00	72.00	61.00	72.00
22.016	10.122	58.00	66.00	72.00	59.00	72.00
22.223	10.122	62.00	67.00	71.00	61.00	71.00
22.431	10.122	64.00	70.00	73.00	63.00	73.00
22.638	10.122	61.00	66.00	70.00	60.00	70.00
22.846	10.485	64.00	70.00	73.00	62.00	73.00
23.056	10.485	57.00	65.00	66.00	58.00	66.00
23.264	10.485	63.00	69.00	72.00	62.00	72.00
23.471	10.485	58.00	65.00	72.00	59.00	72.00
23.679	11.015	63.00	68.00	72.00	62.00	72.00
23.889	11.015	64.00	71.00	74.00	63.00	74.00
24.097	11.015	62.00	67.00	71.00	61.00	71.00
24.305	11.015	64.00	70.00	73.00	63.00	73.00
24.512	11.015	59.00	64.00	68.00	59.00	68.00
24.720	8.481	63.00	69.00	73.00	63.00	73.00
24.930	8.481	57.00	63.00	65.00	59.00	65.00
25.138	8.481	63.00	69.00	71.00	62.00	71.00
25.345	8.481	62.00	70.00	71.00	63.00	71.00
25.553	8.481	61.00	67.00	69.00	62.00	69.00
25.760	10.496	64.00	70.00	73.00	63.00	73.00
25.970	10.496	61.00	65.00	69.00	60.00	69.00
26.177	10.496	64.00	70.00	73.00	63.00	73.00
26.385	10.496	58.00	64.00	67.00	59.00	67.00
26.592	10.496	64.00	69.00	72.00	62.00	72.00
26.800	8.584	63.00	66.00	68.00	59.00	68.00
27.010	8.584	63.00	68.00	71.00	62.00	71.00
