time	power_W	temp4	temp5	temp6	temp7	max_temp
0.009	0.000	36.00	35.00	38.00	35.00	38.00
0.212	2.874	35.00	35.00	40.00	44.00	44.00
0.413	2.874	35.00	36.00	41.00	45.00	45.00
0.615	2.874	36.00	37.00	42.00	46.00	46.00
0.816	2.874	36.00	37.00	42.00	46.00	46.00
1.017	2.874	37.00	38.00	42.00	47.00	47.00
1.219	5.328	37.00	38.00	43.00	47.00	47.00
1.420	5.328	37.00	38.00	43.00	47.00	47.00
1.621	5.328	37.00	38.00	43.00	47.00	47.00
1.823	5.328	37.00	38.00	43.00	48.00	48.00
2.024	5.328	37.00	39.00	43.00	48.00	48.00
2.226	5.351	38.00	39.00	44.00	48.00	48.00
2.427	5.351	38.00	39.00	44.00	48.00	48.00
2.629	5.351	38.00	39.00	44.00	48.00	48.00
2.830	5.351	38.00	39.00	44.00	48.00	48.00
3.031	5.351	38.00	39.00	44.00	48.00	48.00
3.233	5.313	38.00	40.00	44.00	48.00	48.00
3.434	5.313	38.00	39.00	44.00	48.00	48.00
3.635	5.313	38.00	40.00	44.00	48.00	48.00
3.837	5.313	38.00	40.00	44.00	48.00	48.00
4.038	5.313	38.00	40.00	45.00	49.00	49.00
4.240	5.409	38.00	40.00	45.00	49.00	49.00
4.441	5.409	38.00	40.00	44.00	49.00	49.00
4.643	5.409	39.00	40.00	45.00	49.00	49.00
4.844	5.409	39.00	40.00	45.00	49.00	49.00
5.045	5.409	39.00	40.00	45.00	49.00	49.00
5.247	5.389	39.00	40.00	45.00	49.00	49.00
5.448	5.389	39.00	40.00	45.00	49.00	49.00
5.650	5.389	39.00	40.00	45.00	49.00	49.00
5.851	5.389	39.00	40.00	45.00	49.00	49.00
6.052	5.389	41.00	41.00	45.00	46.00	46.00
6.254	5.389	39.00	40.00	45.00	49.00	49.00
6.455	5.389	39.00	40.00	45.00	49.00	49.00
6.657	5.389	39.00	40.00	45.00	49.00	49.00
6.858	5.389	39.00	41.00	45.00	49.00	49.00
7.059	5.389	39.00	40.00	45.00	49.00	49.00
7.261	5.393	39.00	40.00	45.00	49.00	49.00
7.462	5.393	39.00	40.00	45.00	49.00	49.00
7.664	5.393	39.00	40.00	45.00	49.00	49.00
7.865	5.393	39.00	40.00	45.00	49.00	49.00
8.066	5.328	39.00	41.00	45.00	49.00	49.00
8.268	5.328	39.00	40.00	45.00	49.00	49.00
8.469	5.328	39.00	41.00	45.00	49.00	49.00
8.671	5.328	39.00	41.00	46.00	49.00	49.00
8.872	5.328	39.00	41.00	46.00	49.00	49.00
9.073	5.328	39.00	41.00	45.00	49.00	49.00
9.275	5.401	39.00	41.00	46.00	49.00	49.00
9.476	5.401	39.00	41.00	45.00	49.00	49.00
9.678	5.401	39.00	41.00	46.00	50.00	50.00
9.879	5.401	39.00	41.00	45.00	50.00	50.00
10.081	5.401	39.00	41.00	46.00	50.00	50.00
10.282	5.409	39.00	41.00	46.00	50.00	50.00
10.484	5.409	39.00	41.00	46.00	50.00	50.00
10.685	5.409	40.00	41.00	45.00	50.00	50.00
10.886	5.409	40.00	41.00	46.00	50.00	50.00
11.088	5.409	39.00	41.00	46.00	50.00	50.00
11.289	5.420	39.00	41.00	46.00	50.00	50.00
11.491	5.420	39.00	41.00	46.00	50.00	50.00
11.692	5.420	39.00	41.00	46.00	50.00	50.00
11.893	5.420	39.00	41.00	46.00	50.00	50.00
12.095	5.424	40.00	41.00	46.00	50.00	50.00
12.296	5.424	40.00	41.00	46.00	50.00	50.00
12.498	5.424	39.00	41.00	46.00	50.00	50.00
12.699	5.424	40.00	41.00	46.00	50.00	50.00
12.900	5.424	40.00	41.00	46.00	50.00	50.00
13.102	5.401	40.00	41.00	46.00	50.00	50.00
13.303	5.401	40.00	41.00	46.00	50.00	50.00
13.505	5.401	40.00	41.00	46.00	50.00	50.00
13.706	5.401	40.00	41.00	46.00	50.00	50.00
13.907	5.401	40.00	41.00	46.00	50.00	50.00
14.109	5.409	40.00	41.00	46.00	50.00	50.00
14.310	5.409	40.00	41.00	46.00	50.00	50.00
14.512	5.409	40.00	41.00	46.00	50.00	50.00
14.713	5.409	40.00	41.00	46.00	50.00	50.00
14.914	5.409	40.00	41.00	46.00	50.00	50.00
15.116	5.401	40.00	41.00	46.00	50.00	50.00
15.317	5.401	40.00	41.00	46.00	50.00	50.00
15.519	5.401	40.00	41.00	46.00	50.00	50.00
15.720	5.401	40.00	41.00	46.00	50.00	50.00
15.921	5.401	40.00	41.00	46.00	50.00	50.00
16.123	5.409	49.00	42.00	46.00	43.00	49.00
16.324	5.409	51.00	42.00	45.00	42.00	51.00
16.526	5.409	51.00	42.00	45.00	42.00	51.00
16.727	5.409	51.00	42.00	45.00	41.00	51.00
16.928	5.409	51.00	42.00	44.00	41.00	51.00
17.130	5.450	51.00	43.00	45.00	41.00	51.00
17.331	5.450	51.00	42.00	44.00	41.00	51.00
17.533	5.450	51.00	42.00	45.00	41.00	51.00
17.734	5.450	51.00	42.00	44.00	41.00	51.00
17.936	5.450	51.00	42.00	45.00	41.00	51.00
18.137	5.397	51.00	43.00	45.00	41.00	51.00
18.339	5.397	51.00	42.00	44.00	41.00	51.00
18.540	5.397	51.00	43.00	44.00	41.00	51.00
18.741	5.397	52.00	43.00	44.00	41.00	52.00
18.943	5.397	51.00	43.00	44.00	41.00	51.00
19.144	5.470	52.00	43.00	45.00	41.00	52.00
19.345	5.470	52.00	42.00	44.00	41.00	52.00
19.547	5.470	52.00	42.00	44.00	41.00	52.00
19.748	5.470	52.00	43.00	45.00	41.00	52.00
19.950	5.470	52.00	43.00	45.00	41.00	52.00
20.151	5.470	52.00	43.00	45.00	41.00	52.00
20.353	5.470	52.00	43.00	45.00	41.00	52.00
20.554	5.470	52.00	43.00	45.00	41.00	52.00
20.755	5.470	52.00	43.00	45.00	41.00	52.00
20.957	5.470	52.00	43.00	45.00	42.00	52.00
21.158	5.473	52.00	43.00	45.00	41.00	52.00
21.359	5.473	52.00	43.00	45.00	41.00	52.00
21.561	5.473	52.00	43.00	45.00	41.00	52.00
21.762	5.473	52.00	43.00	45.00	41.00	52.00
21.964	5.473	52.00	43.00	45.00	42.00	52.00
22.165	5.416	52.00	43.00	45.00	41.00	52.00
22.367	5.416	52.00	43.00	45.00	41.00	52.00
22.568	5.416	52.00	43.00	45.00	41.00	52.00
22.769	5.416	52.00	43.00	45.00	41.00	52.00
22.970	5.416	52.00	43.00	45.00	41.00	52.00
23.172	5.416	52.00	43.00	45.00	41.00	52.00
23.373	5.466	52.00	43.00	45.00	41.00	52.00
23.575	5.466	52.00	43.00	45.00	42.00	52.00
23.776	5.466	52.00	43.00	45.00	41.00	52.00
23.977	5.466	52.00	43.00	45.00	41.00	52.00
24.179	5.462	52.00	43.00	45.00	41.00	52.00
24.380	5.462	52.00	43.00	45.00	41.00	52.00
24.582	5.462	52.00	43.00	45.00	42.00	52.00
24.783	5.462	52.00	43.00	45.00	41.00	52.00
24.984	5.462	52.00	43.00	45.00	42.00	52.00
25.186	5.450	52.00	43.00	45.00	42.00	52.00
25.387	5.450	52.00	43.00	45.00	42.00	52.00
25.589	5.450	52.00	43.00	45.00	41.00	52.00
25.790	5.450	52.00	43.00	45.00	41.00	52.00
25.991	5.450	42.00	45.00	55.00	42.00	55.00
26.193	5.466	40.00	46.00	59.00	42.00	59.00
26.394	5.466	40.00	45.00	59.00	42.00	59.00
26.596	5.466	40.00	43.00	48.00	50.00	50.00
26.797	5.466	41.00	42.00	47.00	50.00	50.00
26.998	5.466	40.00	42.00	47.00	50.00	50.00
27.200	5.462	41.00	42.00	47.00	51.00	51.00
27.401	5.462	40.00	42.00	46.00	51.00	51.00
27.603	5.462	40.00	42.00	46.00	51.00	51.00
27.804	5.462	41.00	42.00	47.00	51.00	51.00
28.005	5.462	41.00	42.00	46.00	51.00	51.00
28.206	5.454	41.00	42.00	47.00	51.00	51.00
28.408	5.454	40.00	42.00	47.00	51.00	51.00
28.609	5.454	40.00	42.00	47.00	51.00	51.00
28.811	5.454	40.00	42.00	47.00	51.00	51.00
29.012	5.454	41.00	42.00	47.00	51.00	51.00
29.214	5.458	40.00	42.00	47.00	51.00	51.00
29.415	5.458	40.00	42.00	47.00	51.00	51.00
29.616	5.458	40.00	42.00	47.00	51.00	51.00
29.818	5.458	40.00	42.00	47.00	51.00	51.00
30.019	5.458	40.00	42.00	47.00	51.00	51.00
30.220	5.470	40.00	42.00	47.00	51.00	51.00
30.422	5.470	40.00	42.00	47.00	51.00	51.00
30.623	5.470	40.00	42.00	47.00	51.00	51.00
30.825	5.470	40.00	42.00	47.00	51.00	51.00
31.026	5.470	40.00	42.00	47.00	51.00	51.00
31.227	5.370	41.00	42.00	47.00	51.00	51.00
31.429	5.370	40.00	42.00	47.00	51.00	51.00
31.630	5.370	40.00	42.00	47.00	51.00	51.00
31.832	5.370	41.00	42.00	47.00	51.00	51.00
32.033	5.370	40.00	42.00	47.00	51.00	51.00
32.234	5.370	40.00	42.00	47.00	51.00	51.00
32.436	5.462	40.00	42.00	47.00	51.00	51.00
32.637	5.462	40.00	42.00	47.00	51.00	51.00
32.839	5.462	40.00	42.00	47.00	51.00	51.00
33.040	5.374	40.00	42.00	47.00	51.00	51.00
33.241	5.374	40.00	42.00	47.00	51.00	51.00
33.443	5.374	40.00	42.00	47.00	51.00	51.00
