Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
0.1051,0.0000,41.25,298.00,0.021882
0.1588,0.0000,42.38,298.50,0.019915
0.2135,0.0000,42.62,299.00,0.019877
0.2677,0.0000,43.25,299.00,0.020554
0.3222,0.0000,43.38,299.00,0.019805
0.3757,0.0000,43.88,299.50,0.020816
0.4302,0.0000,44.00,299.50,0.020221
0.4834,0.0000,44.12,299.50,0.020562
0.5373,0.0000,44.38,299.00,0.020755
0.5893,0.0000,44.88,298.50,0.019903
0.6418,0.0000,45.00,298.00,0.019511
0.6943,0.0000,44.88,298.00,0.020129
0.7476,0.0000,45.38,297.00,0.019931
0.8019,0.0000,45.38,297.50,0.020052
0.8552,3.2215,45.38,298.00,0.019713
0.9085,6.4430,45.62,298.00,0.019352
0.9647,6.4430,45.50,298.00,0.020660
1.0185,6.4430,45.75,298.00,0.020078
1.0732,6.4430,45.75,298.00,0.019787
1.1268,6.4430,46.12,297.00,0.019659
1.1816,6.4430,45.75,297.00,0.019469
1.2364,6.4430,46.38,297.50,0.020573
1.2921,6.4430,46.12,297.50,0.020594
1.3459,6.4430,46.12,297.50,0.019997
1.4006,6.4430,46.12,298.00,0.019803
1.4554,6.4430,46.25,297.00,0.020680
1.5114,6.4430,46.12,297.00,0.020758
1.5658,6.4430,46.25,297.00,0.019999
1.6213,6.4430,46.38,297.00,0.020238
1.6764,6.4430,46.25,297.00,0.020730
1.7326,6.4430,46.50,298.00,0.020735
1.7879,6.4850,46.25,298.00,0.020678
1.8437,6.4850,46.50,297.50,0.020672
1.8979,6.4850,46.62,298.00,0.019926
1.9529,6.4850,46.75,298.50,0.020450
2.0077,6.4850,46.88,298.50,0.021203
2.0639,6.4850,47.00,298.50,0.020737
2.1170,6.4850,47.00,298.00,0.020702
2.1703,6.4850,47.12,297.50,0.020039
2.2242,6.4850,47.12,297.00,0.020172
2.2798,6.4850,47.25,297.00,0.020090
2.3337,6.4850,47.25,297.00,0.019236
2.3890,6.4850,47.25,297.00,0.020078
2.4433,6.4850,47.12,297.00,0.019925
