Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
0.1222,0.0000,36.12,324.50,0.035860
0.2033,0.0000,38.38,325.00,0.038792
0.2788,0.0000,40.00,325.00,0.034832
0.3563,0.0000,40.75,325.50,0.035388
0.4327,0.0000,41.50,326.00,0.035165
0.5100,0.0000,42.00,326.00,0.034719
0.5866,0.0000,42.50,326.50,0.034976
0.6647,0.0000,42.88,326.00,0.035306
0.7421,0.0000,43.38,326.00,0.035484
0.8213,0.0000,43.75,326.50,0.036443
0.8968,0.0000,43.88,325.50,0.033856
0.9740,0.0000,44.25,326.00,0.034745
1.0509,0.0000,44.50,326.00,0.035353
1.1295,0.0000,44.62,326.00,0.035915
1.2066,0.0000,44.75,326.00,0.035553
1.2842,0.0000,45.12,326.00,0.034857
1.3607,0.0000,45.25,326.00,0.034915
1.4375,0.0000,45.50,326.00,0.034506
1.5130,0.0000,45.50,326.00,0.033770
1.5907,0.0000,45.62,326.00,0.034874
1.6664,0.0000,45.88,326.00,0.033870
1.7433,0.0000,46.12,326.00,0.033857
1.8203,0.0000,46.00,326.00,0.035522
1.8964,0.0000,46.25,326.50,0.033523
1.9734,0.0000,46.50,326.00,0.035089
2.0523,0.0000,46.38,326.50,0.036388
2.1291,0.0000,46.38,327.00,0.034984
2.2094,0.0000,46.75,326.50,0.037386
2.2854,0.0000,46.62,326.50,0.034461
2.3623,0.0000,47.00,327.00,0.034657
2.4400,0.0000,46.88,327.00,0.035590
2.5180,0.0000,47.00,327.00,0.035086
2.5957,0.0000,47.25,327.00,0.035461
2.6737,0.0000,47.38,327.50,0.035292
2.7516,0.0000,47.38,327.50,0.035745
2.8287,0.0000,47.25,328.00,0.034106
2.9059,0.0000,47.38,328.00,0.035352
2.9848,3.6815,47.50,328.00,0.035682
3.0618,7.2405,47.62,328.00,0.033933
3.1393,7.1180,47.50,328.00,0.033773
3.2173,7.1180,47.62,328.00,0.035825
3.2934,7.1180,47.75,328.50,0.033267
3.3696,7.1180,47.75,328.00,0.034219
3.4481,7.1180,47.62,328.00,0.035023
3.5243,7.1180,47.88,328.50,0.034197
3.6026,7.1180,48.00,328.50,0.035132
3.6789,7.1180,48.00,328.00,0.034003
3.7573,7.1180,48.12,328.50,0.035134
3.8353,7.1180,48.00,329.00,0.035609
3.9127,7.1180,48.12,329.00,0.034487
3.9893,7.1180,48.12,329.00,0.034503
4.0668,7.1180,48.12,329.00,0.034514
4.1449,7.1180,48.12,329.00,0.035906
4.2255,7.2425,48.38,329.00,0.036936
4.3028,7.3670,48.25,329.00,0.034507
4.3796,7.3670,48.25,329.00,0.033620
4.4565,7.3670,48.25,329.00,0.034445
4.5390,7.3670,48.12,329.00,0.039333
4.6162,7.3670,48.38,329.00,0.033782
4.6934,7.3670,48.50,329.00,0.033778
4.7699,7.3670,48.50,329.00,0.033785
4.8490,7.3670,48.62,329.00,0.035420
4.9260,7.3670,48.62,329.00,0.034885
5.0048,7.3670,48.75,329.00,0.035239
5.0811,7.3670,49.00,328.00,0.034189
5.1587,7.3670,48.88,328.50,0.034566
5.2354,7.3670,48.88,329.00,0.034489
5.3130,7.3670,48.88,328.00,0.034749
5.3895,7.3670,49.00,328.00,0.034730
5.4682,7.4565,48.75,329.00,0.035190
5.5458,7.5460,49.00,328.50,0.035139
5.6244,7.5460,49.00,329.00,0.035521
5.7010,7.5460,48.88,329.00,0.034826
5.7800,7.5460,49.00,328.50,0.036166
5.8576,7.5460,49.00,328.00,0.035210
5.9361,7.5460,49.00,328.50,0.035292
6.0123,7.5460,49.00,328.00,0.034053
6.0898,7.5460,48.88,328.00,0.034177
6.1670,7.2330,49.00,327.00,0.034834
6.2457,6.9200,48.75,328.00,0.034076
6.3228,6.9200,49.12,328.00,0.034775
6.4005,6.9200,49.00,328.50,0.034851
6.4777,6.9200,49.12,329.00,0.035209
6.5567,6.9200,49.12,329.00,0.035675
6.6329,6.9200,49.12,328.00,0.033996
6.7123,6.9200,49.25,328.50,0.036165
6.7898,6.9200,49.25,328.50,0.035167
6.8694,6.9200,49.00,329.00,0.036223
6.9479,6.9200,48.88,328.50,0.036080
7.0264,6.9200,49.12,329.00,0.035120
7.1049,7.1355,49.25,329.00,0.035821
7.1844,7.3510,49.25,328.50,0.035777
7.2628,7.3510,49.25,328.00,0.035458
7.3398,7.3510,49.38,328.00,0.034005
7.4164,7.3510,49.38,328.00,0.034442
7.4951,7.3510,49.25,328.50,0.035125
7.5715,7.3510,49.25,328.50,0.034121
7.6486,7.3510,49.25,328.00,0.033671
7.7261,7.3510,49.50,328.00,0.035378
7.8046,7.3510,49.38,328.50,0.034920
7.8812,7.3510,49.38,328.50,0.034120
7.9588,7.3510,49.38,328.00,0.034126
