epoch,test_accuracy
1,46.5700
2,57.9800
3,62.3400
4,66.5500
5,68.4100
6,70.1100
7,71.1400
8,71.1100
9,72.3100
10,72.0500
11,72.9300
12,72.4500
13,72.8900
14,72.8000
15,74.0000
16,73.7700
17,73.1100
18,74.4100
19,74.3500
20,74.3500
21,74.8000
22,74.7700
23,75.4100
24,75.1800
25,75.3200
26,75.6300
27,75.4500
28,75.4100
29,75.5100
30,75.8500
31,75.3600
32,75.5500
33,75.5000
34,75.7800
35,75.9900
36,76.0800
37,76.2300
38,76.3900
39,75.5200
40,76.5900
41,76.4400
42,76.0700
43,75.9000
44,76.4200
45,75.8800
46,76.0900
47,76.8100
48,76.8000
49,76.5800
50,77.5100
51,76.5000
52,77.1300
53,77.4500
54,77.1600
55,76.8700
56,77.4200
57,76.3700
58,76.7000
59,77.0900
60,76.9100
61,76.7500
62,77.6700
63,77.0000
64,76.5800
65,77.5100
66,77.0600
67,77.4300
68,77.4600
69,77.3300
70,78.1100
71,77.4300
72,77.3200
73,77.7400
74,77.4100
75,77.3200
76,76.9000
77,77.8400
78,77.5100
79,77.2700
80,77.8100
81,77.7600
82,77.6900
83,77.8100
84,78.3500
85,77.6000
86,77.6000
87,78.4100
88,77.7400
89,78.4800
90,78.1600
91,78.4100
92,77.8500
93,78.0300
94,77.4800
95,77.8500
96,78.0300
97,78.1600
98,78.4800
99,77.6600
100,78.4700
