epoch,test_accuracy
1,23.3700
2,30.1000
3,43.6900
4,52.9800
5,59.7300
6,65.9600
7,68.1600
8,71.2500
9,72.4300
10,72.0500
11,74.1700
12,74.0300
13,74.7000
14,74.6700
15,75.9800
16,75.6000
17,75.0200
18,75.1100
19,76.0900
20,76.0600
21,76.7900
22,76.1100
23,76.0100
24,76.0900
25,75.6200
26,76.3000
27,76.4800
28,76.3000
29,76.7300
30,76.4100
31,76.2500
32,77.4100
33,77.3000
34,76.8100
35,77.2700
36,77.1200
37,77.2000
38,76.6900
39,72.2000
40,78.1100
41,78.0800
42,77.5300
43,77.8900
44,77.1200
45,78.0400
46,77.9500
47,77.1300
48,76.2000
49,77.5400
50,76.6500
51,77.2400
52,78.0700
53,75.9500
54,76.7200
55,77.3500
56,77.0300
57,72.9500
58,75.8800
59,78.0800
60,77.6700
61,78.0200
62,76.2300
63,77.3000
64,78.9700
65,77.3000
66,78.4800
67,76.7200
68,77.6700
69,77.7900
70,78.1900
71,78.5000
72,77.7600
73,78.3100
74,76.9700
75,78.4500
76,78.2500
77,77.5000
78,78.8800
79,78.1200
80,78.2500
81,78.6200
82,77.2900
83,77.9900
84,78.0900
85,78.1100
86,79.0400
87,76.5800
88,77.5200
89,76.9800
90,77.5700
91,76.8400
92,78.8600
93,78.3400
94,78.3100
95,78.1600
96,22.9400
97,74.9300
98,77.2800
99,78.6800
100,77.3400
