Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
0.1678,0.0000,59.07,125.50,0.028550
0.2612,0.0000,59.34,126.00,0.028512
0.3537,0.0000,59.34,126.00,0.027328
0.4482,0.0000,60.15,126.00,0.027087
0.5397,0.0000,60.15,126.00,0.028640
0.6440,0.0000,60.15,126.00,0.031102
0.7459,0.0000,60.15,126.00,0.028713
0.8420,0.0000,60.15,126.00,0.029712
0.9399,0.0000,60.15,126.00,0.028818
1.0409,0.0000,60.15,126.00,0.028907
1.1447,0.0000,60.42,126.00,0.027303
1.2317,0.0000,60.42,126.00,0.026197
1.3379,0.0000,60.15,126.00,0.030155
1.4425,0.0000,60.42,126.00,0.030939
1.5482,0.0000,60.42,126.00,0.030886
1.6550,0.0000,60.42,126.00,0.030132
1.7632,0.0000,60.42,126.00,0.030831
1.8721,0.0000,60.42,126.00,0.031504
1.9763,0.0000,60.42,126.00,0.031208
2.0809,0.0000,60.42,126.00,0.031299
2.1866,0.0000,60.69,126.00,0.030981
2.2965,0.0000,60.42,126.00,0.031436
2.4037,0.0000,60.15,126.00,0.031380
2.5133,0.0000,60.42,126.00,0.031834
2.6195,0.0000,60.69,126.00,0.031738
2.7251,0.0000,60.15,126.00,0.031773
2.8345,0.0000,60.69,126.00,0.031886
2.9409,0.0000,60.42,126.00,0.031479
3.0489,0.0000,60.69,126.00,0.031523
3.1545,0.0000,60.42,126.00,0.031121
3.2613,2.9675,60.42,126.00,0.031436
3.3680,5.9350,60.69,126.00,0.031651
3.4759,5.9350,60.15,126.00,0.031986
3.5822,5.9350,60.42,126.00,0.031503
3.6881,5.9350,60.42,126.00,0.031160
3.7946,5.8780,60.42,126.00,0.032246
3.9025,5.8210,60.69,126.00,0.031880
4.0084,5.8210,61.22,126.00,0.030923
4.1184,5.8210,60.69,126.00,0.031541
4.2267,5.8210,60.15,126.00,0.032195
4.3343,5.8210,60.69,126.00,0.031785
4.4434,5.8210,60.95,126.00,0.032945
4.5524,5.8210,60.69,126.00,0.032288
4.6631,5.8210,60.95,126.00,0.032628
4.7703,5.8210,60.95,126.00,0.032907
4.8791,5.7520,60.69,126.00,0.032238
4.9881,5.7520,60.95,126.00,0.031754
5.0998,5.7520,61.22,126.00,0.032814
5.2112,5.7520,60.42,126.00,0.032067
5.3167,5.7520,60.69,126.00,0.032156
5.4196,5.7520,60.95,126.00,0.031608
5.5227,5.7520,61.22,126.00,0.031988
5.6252,5.7520,60.95,126.00,0.031733
5.7272,5.7520,61.22,126.00,0.031453
5.8342,5.8855,60.95,126.00,0.031210
5.9394,6.0190,60.95,126.00,0.031038
6.0447,6.0190,60.95,126.00,0.031196
6.1508,6.0190,60.95,126.00,0.029763
6.2499,6.0190,61.22,126.00,0.030070
6.3480,6.0190,60.95,126.00,0.029668
