Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
0.1833,0.0000,51.00,152.50,0.048261
0.3080,0.0000,51.00,154.50,0.047200
0.4256,0.0000,51.00,155.00,0.047550
0.5430,0.0000,51.54,155.00,0.048467
0.6609,0.0000,51.54,155.00,0.047709
0.7770,0.0000,51.81,155.00,0.046397
0.8928,0.0000,51.81,155.00,0.046048
1.0090,6.6300,52.08,155.00,0.045641
1.1253,6.6300,52.08,155.00,0.046590
1.2420,6.6300,52.35,155.00,0.046817
1.3610,6.6300,52.62,155.00,0.046925
1.4771,6.6300,52.62,155.00,0.046634
1.5946,6.6300,52.62,155.00,0.047183
1.7112,6.6300,52.62,155.00,0.046427
1.8270,6.6300,52.62,155.00,0.045789
1.9452,6.7310,52.62,155.00,0.047750
2.0626,6.8320,52.62,155.00,0.046717
2.1791,6.8320,52.62,155.00,0.046241
2.2952,6.8320,52.89,155.00,0.046305
2.4120,6.8320,53.15,155.00,0.046813
2.5276,6.8320,53.15,155.00,0.045550
2.6438,6.8320,53.42,155.00,0.046104
2.7596,6.8320,53.15,155.00,0.045669
2.8756,6.8320,53.42,155.00,0.046382
2.9928,6.8170,53.15,155.00,0.046327
3.1091,6.8170,53.15,155.00,0.046523
3.2260,6.8170,53.42,155.00,0.046919
3.3385,6.8170,53.42,155.00,0.043242
3.4514,6.8170,53.15,155.00,0.044128
3.5672,6.8170,53.69,155.00,0.046131
3.6826,6.8170,53.69,155.00,0.045473
3.7986,6.8170,53.96,155.00,0.045663
3.9150,6.7560,53.42,155.00,0.046723
4.0322,6.6950,53.69,155.00,0.046546
4.1491,6.6950,53.69,155.00,0.046698
4.2675,6.6950,53.96,155.00,0.046986
4.3839,6.6950,53.69,155.00,0.046261
4.4996,6.6950,53.69,155.00,0.046185
4.6158,6.6950,53.69,155.00,0.046439
4.7322,6.6950,53.69,155.00,0.046535
4.8492,6.6950,53.69,155.00,0.046879
4.9628,6.6950,53.69,155.00,0.043974
5.0785,6.7500,53.69,155.00,0.047122
5.1960,6.8050,53.69,155.00,0.046925
5.3120,6.8050,53.96,155.00,0.045808
5.4280,6.8050,53.69,155.00,0.046161
5.5425,6.8050,53.69,155.00,0.044286
5.6573,6.8050,53.69,155.00,0.044848
5.7744,6.8050,53.69,155.00,0.047211
5.8909,6.8050,53.69,155.00,0.046491
6.0082,6.7790,53.69,155.00,0.047220
6.1243,6.7790,53.69,155.00,0.045667
6.2402,6.7790,53.69,155.00,0.045902
6.3560,6.7790,53.69,155.00,0.046184
6.4734,6.7790,53.69,155.00,0.047222
6.5915,6.7790,53.96,155.00,0.047668
6.7091,6.7790,53.69,155.00,0.047822
6.8265,6.7790,54.50,155.00,0.047713
6.9422,6.7730,54.23,155.00,0.046297
7.0573,6.7670,54.23,155.00,0.045029
7.1736,6.7670,53.69,155.00,0.045944
7.2900,6.7670,53.69,155.00,0.046495
7.4060,6.7670,54.23,155.00,0.046501
7.5214,6.7670,54.23,155.00,0.046344
7.6384,6.7670,53.69,155.00,0.046891
7.7554,6.7670,53.96,155.00,0.046507
7.8716,6.7670,53.96,155.00,0.046453
7.9880,6.7290,53.96,155.00,0.045790
8.1055,6.7290,54.50,155.00,0.047190
8.2260,6.7290,53.96,155.00,0.047803
8.3446,6.7290,54.23,155.00,0.046585
8.4612,6.7290,53.69,155.00,0.046358
8.5758,6.7290,53.69,155.00,0.045489
8.6876,6.7290,53.69,155.00,0.043333
8.8004,6.7290,53.96,155.00,0.043414
8.9166,6.7575,53.69,155.00,0.047033
9.0332,6.7860,53.96,155.00,0.045995
9.1495,6.7860,54.77,155.00,0.046886
9.2665,6.7860,54.50,155.00,0.046773
9.3833,6.7860,53.96,155.00,0.046862
9.4989,6.7860,54.23,155.00,0.045966
9.6147,6.7860,53.96,155.00,0.046279
9.7302,6.7860,54.50,155.00,0.046210
9.8463,6.7860,54.23,155.00,0.045957
9.9641,6.8150,54.77,155.00,0.047509
10.0814,6.8440,54.77,155.00,0.047232
10.1980,6.8440,54.77,155.00,0.047103
10.3163,6.8440,54.77,155.00,0.048084
10.4328,6.8440,54.50,155.00,0.046537
10.5501,6.8440,54.50,155.00,0.047356
10.6682,6.8440,54.50,155.00,0.048263
10.7870,6.8440,54.77,155.00,0.048436
10.9044,6.8440,54.23,155.00,0.047220
11.0225,6.7630,54.77,155.00,0.047755
11.1349,6.7630,54.23,155.00,0.042882
11.2481,6.7630,54.77,155.00,0.043960
11.3643,6.7630,54.50,155.00,0.047363
11.4808,6.7630,54.77,155.00,0.047122
11.5971,6.7630,54.50,155.00,0.045816
11.7142,6.7630,54.77,155.00,0.046271
11.8308,6.7630,54.50,155.00,0.046332
11.9487,6.7630,54.77,155.00,0.047900
12.0631,6.7630,54.77,155.00,0.043669
12.1747,6.7630,54.77,155.00,0.043111
12.2881,6.7630,54.50,155.00,0.042743
12.4073,6.7630,54.50,155.00,0.046464
12.5278,6.7630,54.23,155.00,0.047029
12.6487,6.7630,54.23,155.00,0.047012
12.7691,6.7630,54.77,155.00,0.047566
12.8837,6.7630,54.50,155.00,0.042982
12.9982,6.7630,54.50,155.00,0.042920
13.1163,6.7900,54.50,155.00,0.048610
13.2357,6.8170,54.50,156.00,0.046752
