Timestamp (s),Power (W),Temperature (°C),Inference Time (s)
0.1013,0.0000,35.12,0.034864
0.1393,2.0115,38.12,0.034783
0.1758,4.0230,40.25,0.033135
0.2121,4.0230,41.62,0.032470
0.2477,4.0230,42.75,0.032484
0.2833,4.0230,43.75,0.032490
0.3211,4.0230,44.75,0.033670
0.3580,4.0230,45.38,0.033805
0.3941,4.0230,45.75,0.033041
0.4315,4.0230,46.75,0.033443
0.4669,4.0230,47.25,0.032285
0.5032,4.0230,47.75,0.033215
0.5380,4.0230,48.50,0.030957
0.5985,4.0230,47.75,0.057405
0.6972,4.0230,45.62,0.086647
0.7319,4.0230,46.62,0.030867
0.7660,4.0230,48.12,0.030954
0.8000,4.0230,48.88,0.030946
0.8362,4.0230,49.50,0.032332
0.8702,4.0230,50.00,0.030846
0.9057,4.0230,50.50,0.032369
0.9404,4.0230,50.88,0.030855
0.9745,4.0230,51.25,0.030961
1.0102,4.0230,51.62,0.032503
1.0463,4.0230,52.00,0.032272
1.0829,4.0230,52.00,0.033482
1.1184,4.0230,52.38,0.032281
1.1532,4.0230,52.75,0.030894
1.1871,4.0230,53.00,0.030787
1.2211,4.0230,53.12,0.030803
1.2560,4.0230,53.25,0.031076
1.2899,4.0230,53.62,0.030852
1.3239,4.0230,53.88,0.030807
1.3586,4.0230,54.12,0.030878
1.3927,4.0230,54.25,0.030953
1.4281,6.8130,54.25,0.032263
1.4630,9.6030,54.50,0.030783
1.4972,9.6030,54.75,0.031084
1.5314,9.6030,54.88,0.031066
1.5676,9.6030,55.00,0.032372
1.6034,9.6030,55.12,0.032692
1.6389,9.6030,55.38,0.032389
1.6737,9.6030,55.50,0.030908
1.7077,9.6030,55.62,0.030932
1.7474,9.6030,55.62,0.036644
1.8343,9.6030,53.75,0.082894
1.9418,9.6030,50.88,0.096091
2.0339,9.6030,49.50,0.082806
2.1094,9.6030,49.88,0.061945
2.1449,9.6030,51.12,0.032312
2.1803,9.6030,52.75,0.032269
2.2167,9.6030,53.25,0.032571
2.2521,9.6030,53.75,0.032279
2.2859,9.6030,54.25,0.030798
2.3208,9.6030,54.50,0.030948
2.3547,9.6030,55.00,0.030862
2.3888,8.8915,55.25,0.030952
2.4240,8.1800,55.50,0.031069
2.4581,8.1800,55.62,0.031016
2.4921,8.1800,56.00,0.030935
2.5269,8.1800,56.38,0.030957
2.5612,8.1800,56.62,0.031082
2.5952,8.1800,56.62,0.030952
2.6299,8.1800,56.88,0.030888
2.6640,8.1800,57.00,0.030982
2.6980,8.1800,57.00,0.030929
2.7330,8.1800,57.25,0.031010
2.7670,8.1800,57.62,0.030895
2.8011,8.1800,57.75,0.030936
2.8359,8.1800,57.75,0.030884
2.8699,8.1800,57.75,0.031012
2.9040,8.1800,57.75,0.030872
2.9386,8.1800,57.62,0.030812
2.9728,8.1800,58.00,0.030993
3.0069,8.1800,58.00,0.030998
3.0417,8.1800,58.12,0.030959
3.0758,8.1800,58.38,0.030908
3.1096,8.1800,58.75,0.030797
3.1444,8.1800,58.75,0.030884
3.2042,9.5310,57.25,0.056720
3.3091,10.8820,54.38,0.092143
3.3997,10.8820,52.88,0.079102
3.4434,10.8820,53.50,0.040423
3.4774,10.8820,54.88,0.030988
3.5124,10.8820,55.75,0.031078
3.5464,10.8820,56.38,0.030815
3.5806,10.8820,56.88,0.031085
3.6157,10.8820,57.12,0.031162
3.6498,10.8820,57.38,0.031073
3.6842,10.8820,57.62,0.031134
3.7260,10.8820,57.62,0.037935
3.7602,10.8820,57.62,0.031131
3.7944,10.8820,57.88,0.031085
3.8294,10.8820,58.12,0.031030
3.8638,10.8820,58.50,0.031232
3.8980,10.8820,58.75,0.031184
3.9330,10.8820,58.75,0.031047
3.9671,10.8820,58.75,0.030965
4.0015,10.8820,58.88,0.031308
4.0365,10.8820,59.00,0.031108
4.0707,10.8820,59.38,0.031061
4.1050,10.8820,59.62,0.031165
4.1400,10.8820,59.50,0.031088
4.1743,10.8820,59.62,0.031283
4.2086,10.9695,59.75,0.031106
4.2439,11.0570,59.75,0.031211
4.2781,11.0570,59.75,0.031147
4.3126,11.0570,59.75,0.031291
4.3476,11.0570,59.75,0.031109
4.3818,11.0570,59.75,0.031083
4.4161,11.0570,59.88,0.031101
4.4510,11.0570,60.00,0.031082
4.4852,11.0570,60.12,0.031031
4.5195,11.0570,60.25,0.031080
4.5545,11.0570,60.38,0.031173
4.5889,11.0570,60.50,0.031238
4.6233,11.0570,60.38,0.031280
4.6583,11.0570,60.38,0.031096
4.6927,11.0570,60.50,0.031228
4.7269,11.0570,60.75,0.031078
4.7620,11.0570,60.75,0.031196
4.7963,11.0570,60.75,0.031112
4.8305,11.0570,60.62,0.031092
4.8656,11.0570,60.75,0.031253
4.8999,11.0570,60.75,0.031180
4.9340,11.0570,60.88,0.030993
4.9690,11.0570,60.88,0.031117
5.0034,11.0570,61.00,0.031219
5.0376,11.0570,61.00,0.031156
5.0726,11.0570,61.00,0.031096
5.1067,11.0570,61.00,0.030980
5.1424,11.0570,61.12,0.032575
5.1774,11.0570,61.12,0.031153
5.2118,11.0570,61.38,0.031178
5.2459,10.8930,61.50,0.031111
5.2813,10.7290,61.50,0.031283
5.3155,10.7290,61.38,0.031040
5.3498,10.7290,61.38,0.031234
5.3849,10.7290,61.38,0.031194
5.4192,10.7290,61.50,0.031215
5.4535,10.7290,61.50,0.031204
5.4885,10.7290,61.50,0.031085
5.5227,10.7290,61.50,0.031152
5.5571,10.7290,61.62,0.031157
5.5921,10.7290,61.62,0.031131
5.6264,10.7290,61.62,0.031178
5.6606,10.7290,61.75,0.031067
5.6956,10.7290,61.62,0.031106
5.7298,10.7290,61.88,0.031132
5.7641,10.7290,62.00,0.031111
5.7991,10.7290,62.00,0.031121
5.8334,10.7290,61.88,0.031183
5.8677,10.7290,62.00,0.031123
5.9027,10.7290,62.00,0.031044
5.9369,10.7290,62.12,0.031095
