Timestamp (s),Power (W),Temperature (°C),Inference Time (s)
0.2358,0.0000,50.20,0.053502
0.2891,0.0000,50.46,0.045628
0.3389,0.0000,50.73,0.043383
0.3896,0.0000,51.27,0.043254
0.4398,0.0000,51.27,0.043532
0.4906,0.0000,51.54,0.043431
0.5408,0.0000,51.81,0.043505
0.5926,0.0000,51.54,0.044406
0.6430,0.0000,51.54,0.044034
0.6945,0.0000,51.54,0.044063
0.7441,0.0000,51.54,0.043125
0.7958,0.0000,51.54,0.044165
0.8458,0.0000,51.81,0.043280
0.8974,3.5250,52.08,0.044149
0.9476,7.0500,51.81,0.043127
0.9995,7.0500,51.54,0.044614
1.0500,7.0500,52.08,0.043686
1.1025,7.0500,52.62,0.044901
1.1529,7.0500,52.62,0.043661
1.2039,7.0500,52.35,0.043640
1.2536,7.0500,52.35,0.043233
1.3044,7.0500,52.62,0.043314
1.3543,7.0500,52.35,0.043189
1.4051,7.0500,52.62,0.043129
1.4549,7.0500,52.89,0.043141
1.5055,7.0500,52.62,0.043315
1.5556,7.0500,52.35,0.043581
1.6063,7.0500,52.35,0.043153
1.6564,7.0500,52.62,0.043533
1.7072,7.0500,52.62,0.043389
1.7543,7.0500,52.62,0.040642
1.8005,7.0500,52.62,0.039706
1.8476,7.0500,52.89,0.040016
1.8944,7.0500,52.62,0.040443
1.9424,7.0500,52.89,0.041384
1.9941,7.1110,52.89,0.044149
2.0443,7.1720,52.62,0.043426
2.0939,7.1720,52.62,0.043285
2.1454,7.1720,52.89,0.044083
2.1954,7.1720,52.89,0.043709
2.2463,7.1720,52.62,0.044251
2.2971,7.1720,53.15,0.043367
2.3485,7.1720,52.89,0.045057
2.3979,7.1720,52.89,0.042930
2.4494,7.1720,52.89,0.043891
2.4988,7.1720,53.42,0.042933
2.5465,7.1720,53.15,0.040403
2.5933,7.1720,53.15,0.040405
2.6400,7.1720,53.15,0.040518
2.6875,7.1720,53.15,0.040252
2.7347,7.1720,53.69,0.040931
2.7846,7.1720,53.42,0.043329
2.8350,7.1720,53.42,0.043023
2.8856,7.1395,53.42,0.044097
2.9347,7.1070,53.69,0.042305
2.9859,7.1070,53.42,0.043322
3.0361,7.1070,53.15,0.043667
3.0844,7.1070,53.69,0.041893
3.1314,7.1070,53.69,0.039897
3.1779,7.1070,53.69,0.040107
3.2249,7.1070,53.42,0.040843
3.2726,7.1070,53.69,0.040430
3.3196,7.1070,53.69,0.040873
3.3698,7.1070,53.69,0.043742
3.4200,7.1070,53.69,0.042828
3.4710,7.1070,53.42,0.044560
3.5215,7.1070,53.42,0.043928
3.5726,7.1070,53.69,0.043821
3.6222,7.1070,53.69,0.043028
3.6728,7.1070,53.69,0.044114
3.7237,7.1070,53.69,0.043583
3.7753,7.1070,53.69,0.045052
3.8239,7.1070,53.69,0.042143
3.8712,7.1070,53.69,0.040084
3.9176,7.1070,53.69,0.040018
3.9637,7.1070,53.42,0.039957
4.0115,7.1070,53.96,0.040468
4.0580,7.1070,53.69,0.039925
4.1070,7.1145,53.69,0.042578
