Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
0.1981,0.0000,60.42,115.50,0.019024
0.2942,0.0000,60.42,116.00,0.017124
0.3772,0.0000,60.69,116.00,0.017247
0.4610,0.0000,60.69,116.00,0.017330
0.5466,2.6010,60.42,116.00,0.017188
0.6342,5.2020,61.22,116.00,0.017444
0.7170,5.2020,61.22,117.00,0.016869
0.8012,5.2020,60.95,117.00,0.017398
0.8838,5.2020,60.95,117.00,0.017539
0.9673,5.2020,60.95,117.00,0.017159
1.0500,5.2020,61.22,117.00,0.017960
1.1336,5.2020,60.95,117.00,0.016860
1.2159,5.2020,61.22,117.00,0.017253
1.3026,5.2020,61.22,117.00,0.017493
1.3864,5.2020,61.22,117.00,0.017510
1.4705,5.2020,61.22,117.00,0.017345
1.5544,5.9240,61.22,117.00,0.017384
1.6381,5.9240,61.22,117.00,0.017243
1.7237,5.9240,61.22,117.00,0.017555
1.8106,5.9240,61.22,117.00,0.017707
1.8924,5.9240,61.49,117.00,0.016954
1.9774,5.9240,61.49,117.00,0.017700
2.0627,5.9240,61.49,117.00,0.017585
2.1476,5.9240,61.22,117.00,0.017111
2.2304,5.9240,61.76,117.00,0.017587
2.3138,5.9240,61.22,117.00,0.016794
2.3970,5.9240,61.49,117.00,0.016363
2.4809,5.9240,61.49,117.00,0.016741
2.5620,5.9240,61.22,117.00,0.016829
2.6462,5.9755,61.49,117.00,0.017842
2.7291,6.0270,61.22,117.00,0.017188
2.8142,6.0270,61.22,117.00,0.018064
2.8996,6.0270,61.49,117.00,0.017325
2.9866,6.0270,61.76,117.00,0.017309
3.0686,6.0270,62.03,117.00,0.016722
3.1541,6.0270,61.49,117.00,0.017591
3.2371,6.0270,61.49,117.00,0.017810
3.3237,6.0270,61.49,117.00,0.017367
3.4110,6.0270,61.49,117.00,0.017700
3.4958,6.0270,61.76,117.00,0.017423
3.5815,6.0120,61.49,117.00,0.017180
3.6663,6.0120,61.22,117.00,0.017769
3.7510,6.0120,61.76,117.00,0.017921
3.8352,6.0120,61.22,117.00,0.017220
3.9181,6.0120,61.49,117.00,0.017954
4.0013,6.0120,61.49,117.00,0.016795
4.0859,6.0120,61.76,117.00,0.017434
4.1724,6.0120,61.22,117.00,0.017565
4.2568,6.0120,61.49,117.00,0.017381
4.3448,6.0120,61.22,117.00,0.017084
4.4298,6.0120,61.76,117.00,0.017696
4.5137,6.0120,61.76,117.00,0.017399
4.5961,6.0120,61.76,117.00,0.017346
4.6847,6.0120,61.49,117.00,0.017621
4.7720,6.0120,61.76,117.00,0.017400
4.8594,6.0120,61.22,117.00,0.016706
4.9398,6.0120,61.76,117.00,0.017028
5.0234,6.0120,61.49,117.00,0.017211
5.1066,6.0120,62.03,117.00,0.017712
5.1930,6.0120,61.22,117.00,0.017087
5.2784,6.0120,61.76,117.00,0.017193
5.3625,6.0120,61.49,117.00,0.017221
5.4451,6.0120,61.49,117.00,0.017386
5.5333,5.9870,61.22,117.00,0.016696
5.6178,5.9620,62.30,117.00,0.017556
5.7048,5.9620,61.22,117.00,0.017214
5.7903,5.9620,61.49,117.00,0.017399
5.8758,5.9620,61.22,117.00,0.017161
5.9604,5.9620,61.76,117.00,0.016906
6.0464,5.9620,61.49,117.00,0.016423
6.1268,5.9620,61.49,117.00,0.016361
6.2104,5.9620,61.49,117.00,0.016706
6.2943,5.9620,61.49,117.00,0.017516
6.3783,5.9620,61.76,117.00,0.017323
6.4597,5.9620,61.49,117.00,0.016686
6.5425,5.9620,62.03,117.00,0.016879
6.6244,5.9620,61.76,117.00,0.016865
6.7115,5.9120,61.76,117.00,0.017241
6.7948,5.9120,61.49,117.00,0.017899
6.8791,5.9120,61.76,117.00,0.017699
6.9629,5.9120,61.49,117.00,0.017316
7.0488,5.9120,61.49,117.00,0.017264
7.1340,5.9120,62.03,117.00,0.017336
7.2187,5.9120,62.03,117.00,0.017484
7.3013,5.9120,62.03,117.00,0.017254
7.3859,5.9120,61.76,117.00,0.017474
7.4701,5.9120,62.30,117.00,0.017159
7.5551,5.9510,62.03,117.00,0.017251
7.6378,5.9510,62.30,117.00,0.017040
7.7220,5.9510,62.03,117.00,0.017673
7.8062,5.9510,62.03,117.00,0.017022
7.8888,5.9510,62.30,117.00,0.016700
7.9729,5.9510,61.49,117.00,0.016382
8.0582,5.9510,62.03,117.50,0.016941
8.1408,5.9510,62.03,118.00,0.017150
8.2262,5.9510,61.22,118.00,0.016372
8.3073,5.9510,61.49,118.00,0.016845
8.3912,5.9510,62.03,118.00,0.016887
8.4735,5.9510,61.76,118.00,0.017535
8.5574,5.9200,62.03,118.00,0.017314
8.6387,5.9200,61.76,118.00,0.016796
8.7222,5.9200,62.03,118.00,0.016934
8.8055,5.9200,61.76,118.00,0.016567
8.8941,5.9200,61.49,118.00,0.017676
8.9768,5.9200,61.22,118.00,0.017214
9.0631,5.9200,61.76,118.00,0.017477
9.1460,5.9200,61.76,118.00,0.017633
9.2309,5.9200,61.49,118.00,0.017596
9.3161,5.9200,62.30,118.00,0.017665
9.4026,5.9200,61.49,118.00,0.017849
9.4855,5.9200,61.76,118.00,0.017158
9.5700,5.9160,62.03,118.00,0.016160
9.6531,5.9160,62.03,118.00,0.016487
9.7377,5.9160,61.49,118.00,0.016888
9.8212,5.9160,61.49,118.00,0.016644
9.9065,5.9160,61.49,118.00,0.017576
9.9888,5.9160,62.03,118.00,0.017427
10.0739,5.9160,61.49,118.00,0.016419
10.1596,5.9160,61.76,118.00,0.016544
10.2423,5.9160,61.49,118.00,0.016382
10.3261,5.9160,62.30,118.00,0.017477
10.4098,5.9160,61.49,118.00,0.016580
10.4906,5.9160,62.03,118.00,0.016660
10.5730,5.9160,61.49,118.00,0.016599
10.6567,5.9160,62.03,118.00,0.017086
10.7465,5.9960,61.49,118.00,0.017292
10.8284,5.9960,61.76,118.00,0.016342
10.9135,5.9960,61.76,118.00,0.017050
10.9992,5.9960,61.22,118.00,0.017725
11.0857,5.9960,62.03,118.00,0.017882
11.1705,5.9960,61.49,118.00,0.017502
11.2572,5.9960,61.49,118.00,0.017008
11.3405,5.9960,61.76,118.00,0.017690
11.4271,5.9960,61.76,118.00,0.017137
11.5107,5.9200,61.76,118.00,0.017727
11.5988,5.8440,61.49,118.00,0.017856
11.6808,5.8440,61.76,118.00,0.016946
11.7698,5.8440,62.30,118.00,0.017175
11.8518,5.8440,61.49,118.00,0.016598
11.9370,5.8440,61.76,118.00,0.016526
12.0188,5.8440,62.03,118.00,0.016556
12.1023,5.8440,61.49,118.00,0.017153
12.1874,5.8440,62.30,118.00,0.017079
12.2735,5.8440,61.22,118.00,0.017241
12.3568,5.8440,61.76,118.00,0.017484
12.4412,5.8440,61.76,118.00,0.017099
12.5295,5.9295,61.49,118.00,0.018121
12.6221,6.0150,61.76,118.00,0.017378
12.7034,6.0150,62.30,118.00,0.016491
12.7901,6.0150,61.49,118.00,0.017605
12.8755,6.0150,62.03,118.00,0.017737
12.9651,6.0150,61.49,118.00,0.017428
13.0517,6.0150,62.30,118.50,0.018171
13.1428,6.0150,61.49,119.00,0.018164
13.2352,6.0150,61.22,119.00,0.018602
13.3254,6.0150,61.49,119.00,0.017314
13.4089,6.0150,62.30,119.00,0.017638
13.4959,6.0150,61.76,119.00,0.017406
13.5815,5.8550,61.49,119.00,0.017159
13.6687,5.8550,61.22,119.00,0.017202
13.7546,5.8550,61.49,119.00,0.017658
13.8423,5.8550,61.49,119.00,0.017678
13.9252,5.8550,61.76,119.00,0.017089
14.0121,5.8550,61.22,119.00,0.017471
14.0969,5.8550,61.76,119.00,0.017334
14.1819,5.8550,61.49,119.00,0.017377
14.2653,5.8550,61.76,119.00,0.017588
14.3505,5.8550,62.03,119.00,0.017205
14.4356,5.8550,61.49,119.00,0.017261
14.5227,5.9445,61.76,119.00,0.017659
14.6049,6.0340,61.49,119.00,0.016304
14.6899,6.0340,61.49,119.00,0.016749
14.7718,6.0340,61.76,119.00,0.016628
14.8589,6.0340,62.03,119.00,0.017188
