Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
0.1877,0.0000,60.15,117.50,0.007145
0.2779,0.0000,60.42,118.00,0.007432
0.3552,0.0000,60.15,119.00,0.006698
0.4345,0.0000,60.42,119.00,0.007004
0.5141,2.3665,60.69,119.00,0.007015
0.5937,4.7330,60.42,119.00,0.007177
0.6711,4.7330,60.69,119.00,0.006816
0.7525,4.7330,60.95,119.00,0.006982
0.8281,4.7330,60.95,119.00,0.007022
0.9086,4.7330,60.69,119.00,0.006997
0.9859,4.7330,60.95,119.00,0.006933
1.0671,4.7330,60.69,119.00,0.007097
1.1443,4.7330,60.95,119.00,0.006803
1.2232,4.7330,61.22,119.00,0.007298
1.2982,4.7330,60.95,119.00,0.006618
1.3702,4.7330,61.22,119.00,0.006314
1.4445,4.7330,61.22,119.00,0.006535
1.5247,5.2825,60.95,119.00,0.007283
1.6044,5.8320,60.95,119.00,0.006963
1.6845,5.8320,61.22,119.00,0.007031
1.7621,5.8320,61.22,119.00,0.006844
1.8429,5.8320,60.95,119.00,0.007075
1.9200,5.8320,61.22,119.00,0.006784
1.9988,5.8320,61.22,119.00,0.007123
2.0780,5.8320,61.22,119.00,0.006706
2.1590,5.8320,61.49,119.00,0.007306
2.2380,5.8320,61.22,119.00,0.007038
2.3182,5.8320,61.22,119.00,0.007273
2.3936,5.8320,61.22,119.00,0.007210
2.4748,5.8320,61.22,119.00,0.007062
2.5544,5.8380,61.22,119.00,0.007098
2.6338,5.8440,61.49,119.00,0.007249
2.7112,5.8440,61.22,119.00,0.006986
2.7917,5.8440,61.22,119.00,0.006997
2.8705,5.8440,60.95,119.00,0.006975
2.9514,5.8440,61.22,119.00,0.007004
3.0294,5.8440,61.22,119.00,0.007412
3.1094,5.8440,61.49,119.00,0.006463
3.1892,5.8440,61.49,119.00,0.006958
3.2707,5.8440,61.22,119.00,0.007133
3.3463,5.8440,61.22,119.00,0.006689
3.4202,5.8440,61.49,119.00,0.006385
3.4957,5.8440,61.22,119.00,0.006902
3.5723,5.8470,61.49,119.00,0.006968
3.6468,5.8470,61.49,119.00,0.006761
3.7224,5.8470,61.49,119.00,0.006675
3.7966,5.8470,61.22,119.00,0.006618
3.8702,5.8470,61.22,119.00,0.006784
3.9468,5.8470,61.22,119.00,0.006722
4.0219,5.8470,61.49,119.00,0.006756
4.0980,5.8470,61.76,119.00,0.006742
4.1737,5.8470,61.49,119.00,0.006809
4.2447,5.8470,61.22,119.00,0.006527
4.3163,5.8470,61.22,119.00,0.006490
4.3902,5.8470,61.76,119.00,0.006557
4.4623,5.8470,61.49,119.00,0.006647
4.5385,5.8890,61.76,119.00,0.006783
4.6146,5.9310,61.76,119.00,0.007000
4.6912,5.9310,61.76,119.00,0.006721
4.7672,5.9310,61.76,119.00,0.006878
4.8414,5.9310,61.49,119.00,0.006958
4.9139,5.9310,61.49,119.00,0.006550
4.9886,5.9310,61.49,119.00,0.006711
5.0619,5.9310,61.49,119.00,0.006831
5.1369,5.9310,61.76,119.00,0.006846
5.2105,5.9310,61.76,119.00,0.006887
5.2831,5.9310,61.76,119.00,0.006757
5.3603,5.9310,61.22,119.00,0.006665
5.4353,5.9310,61.76,119.00,0.006637
5.5089,5.9310,61.49,119.00,0.007135
5.5815,5.9920,61.49,119.00,0.007125
5.6577,5.9920,61.22,119.00,0.006941
5.7349,5.9920,61.49,119.00,0.007151
