Table,Pruning Fraction,#Fine-tuning Epochs,#Parameters,Model Size [MB],Max Memory Usage [MB],Avg Latency/Image [ms],Avg Energy/Image [mJ],Test Accuracy [%]
Table 1 (Pruned ONNX),0.0,0,3217226,12.24,137.0,29.22,595.2569,77.7
Table 2 (Unpruned PTQ),0.0,100,3217226,3.3,134.0,11.78,517.09,77.61
Table 1 (Pruned ONNX),0.05,25,2902933,11.04,145.5,29.74,589.8529,85.91
Table 3 (Pruned + PTQ),0.05,25,2902933,2.96,126.0,10.13,471.671,85.81
Table 1 (Pruned ONNX),0.1,25,2607681,9.92,136.5,27.02,586.2085,85.03
Table 3 (Pruned + PTQ),0.1,25,2607681,2.67,125.0,9.64,468.5995,85.08
Table 1 (Pruned ONNX),0.2,25,2069432,7.87,128.0,24.04,556.339,85.49
Table 3 (Pruned + PTQ),0.2,25,2069432,2.14,123.0,8.58,458.418,85.59
Table 1 (Pruned ONNX),0.3,25,1592437,6.06,126.0,20.7,532.4937,85.02
Table 3 (Pruned + PTQ),0.3,25,1592437,1.67,123.0,7.62,452.6775,84.91
Table 1 (Pruned ONNX),0.4,25,1178807,4.48,124.0,17.33,509.8397,84.34
Table 3 (Pruned + PTQ),0.4,25,1178807,1.26,122.0,6.81,446.2084,84.32
Table 1 (Pruned ONNX),0.5,25,828362,3.15,124.0,14.32,492.4833,83.93
Table 3 (Pruned + PTQ),0.5,25,828362,0.91,123.0,5.51,435.6504,83.92
